NAME	PRICE
Product3	$1000.0
Product48	$1050.0
Product18	$1088.0
Product39	$1092.0
Product1	$1100.0
Product47	$1100.0
Product24	$1134.0
Product13	$1190.0
Product2	$1205.0
Product11	$1223.0
Product4	$1230.0
Product50	$1230.0
Product7	$1250.0
Product31	$1269.0
Product12	$1280.0
Product9	$1340.0
Product26	$1348.0
Product14	$1450.0
Product22	$1467.0
Product16	$1467.0
Product15	$1555.0
Product35	$1560.0
Product19	$1650.0
Product21	$1652.0
Product43	$1679.0
Product20	$1834.0
Product41	$1872.0
Product45	$1927.0
Product29	$1982.0
Product44	$2102.0
Product8	$2205.0
Product27	$2435.0
Product23	$2567.0
Product38	$2709.0
Product28	$2846.0
Product42	$2981.0
Product49	$2981.0
Product25	$3000.0
Product17	$3120.0
Product36	$3190.0
Product32	$3198.0
Product46	$3198.0
Product6	$3200.0
Product10	$3210.0
Product34	$3241.0
Product30	$3258.0
Product5	$3600.0
Product37	$3611.0
Product33	$3762.0
Product40	$3872.0
